Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
color = color,Chrome 121.0.0.0,,,2024-02-12 09:15:53,2024-02-12 09:15:53,0.000s,PASSED
switch (color),Chrome 121.0.0.0,,,2024-02-12 09:15:53,2024-02-12 09:15:55,1.181s,PASSED
,,,,,,,
Test Cases/Final Project - Website/Positive Test/Shopping/filter_search_test,Chrome 121.0.0.0,,,2024-02-12 09:15:55,2024-02-12 09:16:29,33.922s,PASSED
website.Browser.openBrowser(website_url),Chrome 121.0.0.0,,,2024-02-12 09:15:55,2024-02-12 09:16:02,7.420s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/User Management Objects/btn_account""), 10)",Chrome 121.0.0.0,,,2024-02-12 09:16:02,2024-02-12 09:16:03,0.947s,PASSED
delay(10),Chrome 121.0.0.0,,,2024-02-12 09:16:03,2024-02-12 09:16:13,10.004s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Shopping/img_item_speaker""), 10)",Chrome 121.0.0.0,,,2024-02-12 09:16:13,2024-02-12 09:16:13,0.388s,PASSED
"click(findTestObject(""Object Repository/Shopping/img_item_speaker""))",Chrome 121.0.0.0,,,2024-02-12 09:16:13,2024-02-12 09:16:14,0.368s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Shopping/btn_manufacturer""), 10)",Chrome 121.0.0.0,,,2024-02-12 09:16:14,2024-02-12 09:16:26,11.726s,PASSED
"click(findTestObject(""Object Repository/Shopping/btn_manufacturer""))",Chrome 121.0.0.0,,,2024-02-12 09:16:26,2024-02-12 09:16:26,0.386s,PASSED
manufacturer = manufacturer,Chrome 121.0.0.0,,,2024-02-12 09:16:26,2024-02-12 09:16:26,0.001s,PASSED
switch (manufacturer),Chrome 121.0.0.0,,,2024-02-12 09:16:26,2024-02-12 09:16:27,0.944s,PASSED
"click(findTestObject(""Object Repository/Shopping/btn_color""))",Chrome 121.0.0.0,,,2024-02-12 09:16:27,2024-02-12 09:16:27,0.522s,PASSED
color = color,Chrome 121.0.0.0,,,2024-02-12 09:16:27,2024-02-12 09:16:27,0.001s,PASSED
switch (color),Chrome 121.0.0.0,,,2024-02-12 09:16:27,2024-02-12 09:16:29,1.197s,PASSED
,,,,,,,
Test Cases/Final Project - Website/Positive Test/Shopping/filter_search_test,Chrome 121.0.0.0,,,2024-02-12 09:16:29,2024-02-12 09:16:56,26.964s,PASSED
website.Browser.openBrowser(website_url),Chrome 121.0.0.0,,,2024-02-12 09:16:29,2024-02-12 09:16:39,9.880s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/User Management Objects/btn_account""), 10)",Chrome 121.0.0.0,,,2024-02-12 09:16:39,2024-02-12 09:16:39,0.463s,PASSED
delay(10),Chrome 121.0.0.0,,,2024-02-12 09:16:39,2024-02-12 09:16:49,10.027s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Shopping/img_item_speaker""), 10)",Chrome 121.0.0.0,,,2024-02-12 09:16:49,2024-02-12 09:16:49,0.374s,PASSED
"click(findTestObject(""Object Repository/Shopping/img_item_speaker""))",Chrome 121.0.0.0,,,2024-02-12 09:16:49,2024-02-12 09:16:50,0.402s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Shopping/btn_manufacturer""), 10)",Chrome 121.0.0.0,,,2024-02-12 09:16:50,2024-02-12 09:16:52,2.574s,PASSED
"click(findTestObject(""Object Repository/Shopping/btn_manufacturer""))",Chrome 121.0.0.0,,,2024-02-12 09:16:52,2024-02-12 09:16:53,0.391s,PASSED
manufacturer = manufacturer,Chrome 121.0.0.0,,,2024-02-12 09:16:53,2024-02-12 09:16:53,0.000s,PASSED
switch (manufacturer),Chrome 121.0.0.0,,,2024-02-12 09:16:53,2024-02-12 09:16:54,1.006s,PASSED
"click(findTestObject(""Object Repository/Shopping/btn_color""))",Chrome 121.0.0.0,,,2024-02-12 09:16:54,2024-02-12 09:16:54,0.633s,PASSED
color = color,Chrome 121.0.0.0,,,2024-02-12 09:16:54,2024-02-12 09:16:54,0.000s,PASSED
switch (color),Chrome 121.0.0.0,,,2024-02-12 09:16:54,2024-02-12 09:16:56,1.125s,PASSED
,,,,,,,
Test Cases/Final Project - Website/Positive Test/Shopping/filter_search_test,Chrome 121.0.0.0,,,2024-02-12 09:16:56,2024-02-12 09:17:23,27.174s,PASSED
website.Browser.openBrowser(website_url),Chrome 121.0.0.0,,,2024-02-12 09:16:56,2024-02-12 09:17:05,9.728s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/User Management Objects/btn_account""), 10)",Chrome 121.0.0.0,,,2024-02-12 09:17:05,2024-02-12 09:17:06,0.371s,PASSED
delay(10),Chrome 121.0.0.0,,,2024-02-12 09:17:06,2024-02-12 09:17:16,10.021s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Shopping/img_item_speaker""), 10)",Chrome 121.0.0.0,,,2024-02-12 09:17:16,2024-02-12 09:17:16,0.377s,PASSED
"click(findTestObject(""Object Repository/Shopping/img_item_speaker""))",Chrome 121.0.0.0,,,2024-02-12 09:17:16,2024-02-12 09:17:17,0.412s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Shopping/btn_manufacturer""), 10)",Chrome 121.0.0.0,,,2024-02-12 09:17:17,2024-02-12 09:17:20,3.112s,PASSED
"click(findTestObject(""Object Repository/Shopping/btn_manufacturer""))",Chrome 121.0.0.0,,,2024-02-12 09:17:20,2024-02-12 09:17:20,0.373s,PASSED
manufacturer = manufacturer,Chrome 121.0.0.0,,,2024-02-12 09:17:20,2024-02-12 09:17:20,0.000s,PASSED
switch (manufacturer),Chrome 121.0.0.0,,,2024-02-12 09:17:20,2024-02-12 09:17:21,1.072s,PASSED
"click(findTestObject(""Object Repository/Shopping/btn_color""))",Chrome 121.0.0.0,,,2024-02-12 09:17:21,2024-02-12 09:17:22,0.552s,PASSED
color = color,Chrome 121.0.0.0,,,2024-02-12 09:17:22,2024-02-12 09:17:22,0.007s,PASSED
switch (color),Chrome 121.0.0.0,,,2024-02-12 09:17:22,2024-02-12 09:17:23,1.105s,PASSED
